Broker,Trial,Elapsed,Watts,Total Published(Messages),Publish Rate(Messages/s),Total Received(Messages),Receive Rate(Messages/s)
nanomq,1,1,4.2,61,60.7,5955,5931.27
nanomq,1,2,4.3,255,194,20628,14673
nanomq,1,3,4.2,455,200,42210,21582
nanomq,1,4,4.1,655,200,65573,23363
nanomq,1,5,4.2,855,200,97520,31947
nanomq,1,6,4.1,1055,200,126993,29473
nanomq,1,7,4,1255,200,156774,29781
nanomq,1,8,4.2,1455,200,187504,30730
nanomq,1,9,4,1655,200,216090,28586
nanomq,1,10,4,1855,200,245235,29145
nanomq,1,11,4.2,2055,200,277416,32181
nanomq,1,12,3.8,2255,200,307967,30551
nanomq,1,13,4.1,2455,200,338595,30628
nanomq,1,14,4,2655,200,372132,33537
nanomq,1,15,4.4,2855,200,405648,33516
nanomq,1,16,4.1,3055,200,438852,33204
nanomq,1,17,4,3255,200,472124,33272
nanomq,1,18,4.2,3455,200,507194,35070
nanomq,1,19,4,3655,200,537139,29945
nanomq,1,20,4.2,3855,200,571763,34624
nanomq,2,1,4.2,174,173.13,8040,8007.97
nanomq,2,2,4,374,200,23255,15215
nanomq,2,3,4.1,574,200,41360,18105
nanomq,2,4,4.1,774,200,60267,18907
nanomq,2,5,4.1,974,200,90454,30187
nanomq,2,6,4,1174,200,120758,30304
nanomq,2,7,4,1374,200,151606,30848
nanomq,2,8,4.4,1574,200,180705,29099
nanomq,2,9,4.1,1774,200,204783,24078
nanomq,2,10,4,1974,200,234512,29729
nanomq,2,11,4.4,2174,200,263455,28943
nanomq,2,12,4.1,2374,200,293928,30473
nanomq,2,13,4,2574,200,319467,25539
nanomq,2,14,3.9,2774,200,347109,27642
nanomq,2,15,3.9,2974,200,374968,27859
nanomq,2,16,4.1,3174,200,404184,29216
nanomq,2,17,3.9,3374,200,435833,31649
nanomq,2,18,4.3,3574,200,468297,32464
nanomq,2,19,3.9,3774,200,500652,32355
nanomq,2,20,4.2,3974,200,527306,26654
nanomq,3,1,4.1,182,181.09,4557,4538.84
nanomq,3,2,4.1,382,200,6092,767.5
nanomq,3,3,4.2,582,200,6210,118
nanomq,3,4,4.1,782,200,18925,12715
nanomq,3,5,4,982,200,30241,11316
nanomq,3,6,4.2,1182,200,47985,17744
nanomq,3,7,4.1,1382,200,61722,13737
nanomq,3,8,4.1,1582,200,77277,15555
nanomq,3,9,4.1,1782,200,97233,19956
nanomq,3,10,4,1982,200,118275,21042
nanomq,3,11,4.3,2182,200,139467,21192
nanomq,3,12,4.1,2382,200,170649,31182
nanomq,3,13,4.1,2582,200,195870,25221
nanomq,3,14,4,2782,200,217351,21481
nanomq,3,15,4.3,2982,200,235317,17966
nanomq,3,16,4.2,3182,200,262870,27553
nanomq,3,17,4,3382,200,286173,23303
nanomq,3,18,4.2,3582,200,315166,28993
nanomq,3,19,4.1,3782,200,339448,24282
nanomq,3,20,3.9,3982,200,363730,23192
nanomq,4,1,4.1,182,181.09,6750,6696.43
nanomq,4,2,4.2,382,200,10420,3670
nanomq,4,3,4,582,200,31069,20649
nanomq,4,4,4.2,782,200,48632,17563
nanomq,4,5,4.1,982,200,79343,30711
nanomq,4,6,4.2,1182,200,98640,19297
nanomq,4,7,4,1382,200,125191,26551
nanomq,4,8,3.9,1582,200,156870,31647.35
nanomq,4,9,4.4,1782,200,178878,22030.03
nanomq,4,10,4.4,1982,200,204847,25969
nanomq,4,11,4.2,2182,200,232762,27915
nanomq,4,12,4.2,2382,200,261100,28338
nanomq,4,13,4.1,2582,200,284448,23348
nanomq,4,14,4.1,2782,200,309915,25467
nanomq,4,15,4.1,2982,200,336902,26987
nanomq,4,16,4,3182,200,363675,26773
nanomq,4,17,4,3382,200,389302,25627
nanomq,4,18,4,3582,200,413559,24257
nanomq,4,19,4.2,3782,200,447434,33875
nanomq,4,20,4.3,3982,200,473985,26551
nanomq,5,1,4.3,174,173.13,7588,7550.25
nanomq,5,2,4.2,374,200,12347,4759
nanomq,5,3,4.1,574,200,30236,17889
nanomq,5,4,4.1,774,200,50387,20151
nanomq,5,5,4.2,974,200,70430,20022.98
nanomq,5,6,4.1,1174,200,99509,29108.11
nanomq,5,7,4.2,1374,200,122619,23110
nanomq,5,8,3.9,1574,200,148627,26008
nanomq,5,9,4.1,1774,200,169201,20574
nanomq,5,10,4.1,1974,200,189795,20594
nanomq,5,11,4.3,2174,200,213733,23938
nanomq,5,12,4.1,2374,200,234354,20621
nanomq,5,13,4.2,2574,200,255945,21591
nanomq,5,14,4.5,2774,200,274981,19036
nanomq,5,15,4,2974,199.8,295544,20563
nanomq,5,16,4.2,3174,200.2,319921,24377
nanomq,5,17,4.1,3374,200,338427,18506
nanomq,5,18,4.5,3574,200,364547,26120
nanomq,5,19,4.2,3774,200,392130,27583
nanomq,5,20,4.2,3974,200,415317,23187
emqx,1,1,5,178,177.29,5327,5300.5
emqx,1,2,4.3,378,200,11255,5928
emqx,1,3,5,578,199.8,16886,5631
emqx,1,4,4.8,778,200.2,28808,11922
emqx,1,5,4.8,978,199.8,49647,20839
emqx,1,6,4.5,1178,200.2,73296,23649
emqx,1,7,4.6,1378,200,96188,22892
emqx,1,8,5,1578,200,124248,28060
emqx,1,9,5.2,1778,200,142700,18452
emqx,1,10,5.1,1978,199.8,170569,27869
emqx,1,11,4.7,2178,200.2,189095,18526
emqx,1,12,4.8,2378,200,209717,20622
emqx,1,13,4.8,2578,200,239236,29519
emqx,1,14,4.9,2778,200,264940,25704
emqx,1,15,4.3,2978,200,283849,18909
emqx,1,16,4.9,3178,200,309519,25670
emqx,1,17,4.7,3378,200,321173,11654
emqx,1,18,5.2,3578,200,339669,18496
emqx,1,19,5.3,3778,200,360576,20907
emqx,1,20,5,3978,200,381237,20661
emqx,2,1,4.6,174,173.13,6162,6131.34
emqx,2,2,4.8,374,200,13013,6844.16
emqx,2,3,4.5,574,200,32343,19349.35
emqx,2,4,4.7,774,200,47887,15544
emqx,2,5,4.6,974,200,53959,6072
emqx,2,6,4.9,1174,200,67720,13761
emqx,2,7,4.7,1374,200,94318,26598
emqx,2,8,5,1574,200,123312,28994
emqx,2,9,4.8,1774,200,142667,19355
emqx,2,10,5.1,1974,200,163739,21050.95
emqx,2,11,5.1,2174,200,186904,23188.19
emqx,2,12,5,2374,200,214428,27524
emqx,2,13,5,2574,200,237407,22979
emqx,2,14,5,2774,200,263956,26549
emqx,2,15,5.2,2974,200,287146,23190
emqx,2,16,5,3174,200,307982,20836
emqx,2,17,4.7,3374,200,322655,14673
emqx,2,18,5,3574,200,347279,24624
emqx,2,19,5.1,3774,200,364577,17298
emqx,2,20,5.2,3974,200,371807,7230
emqx,3,1,4.9,174,173.13,7026,6991.04
emqx,3,2,4.7,374,200,21853,14827
emqx,3,3,4.7,574,200,28529,6676
emqx,3,4,4.8,774,200,46475,17946
emqx,3,5,5,974,200,64007,17532
emqx,3,6,4.8,1174,200,85577,21570
emqx,3,7,4.7,1374,200,107203,21626
emqx,3,8,4.7,1574,200,134728,27525
emqx,3,9,5,1774,200,152791,18063
emqx,3,10,5,1974,200,179717,26926
emqx,3,11,4.7,2174,200,193967,14250
emqx,3,12,5,2374,200,220038,26071
emqx,3,13,4.7,2574,200,243320,23282
emqx,3,14,4.8,2774,200,265640,22320
emqx,3,15,4.8,2974,200,283972,18332
emqx,3,16,4.9,3174,200,312696,28724
emqx,3,17,4.8,3374,200,335970,23274
emqx,3,18,4.9,3574,200,364557,28587
emqx,3,19,4.9,3774,200,383557,19000
emqx,3,20,5,3974,200,409034,25477
emqx,4,1,4.9,40,39.8,407,405.38
emqx,4,2,4.8,240,200,919,512
emqx,4,3,4.5,440,200,1988,1069
emqx,4,4,4.6,640,200,3935,1947
emqx,4,5,4.8,840,200,6553,2618
emqx,4,6,4.7,1040,200,8803,2250
emqx,4,7,4.7,1240,200,12003,3200
emqx,4,8,5.2,1440,200,15480,3477
emqx,4,9,5,1640,200,18603,3123
emqx,4,10,5,1840,200,19315,712
emqx,4,11,4.8,2040,200,20066,751
emqx,4,12,4.9,2240,200,21900,1834
emqx,4,13,4.9,2440,200,28034,6134
emqx,4,14,4.7,2640,200,38723,10689
emqx,4,15,4.7,2840,200,42581,3858
emqx,4,16,5.3,3040,200,46105,3524
emqx,4,17,4.6,3240,200,52381,6276
emqx,4,18,4.6,3440,200,58991,6610
emqx,4,19,5.4,3640,200,69391,10400
emqx,4,20,5.4,3840,200,81987,12596
emqx,5,1,4.6,182,181.09,6987,6959.16
emqx,5,2,4.9,382,200,14936,7949
emqx,5,3,4.6,582,200,33607,18671
emqx,5,4,4.7,782,200,41653,8046
emqx,5,5,4.6,982,200,66593,24940
emqx,5,6,4.7,1182,200,89977,23384
emqx,5,7,4.8,1382,200,106840,16863
emqx,5,8,4.5,1582,199.8,113628,6788
emqx,5,9,4.7,1782,200.2,115853,2225
emqx,5,10,4.9,1982,200,120972,5119
emqx,5,11,4.6,2182,200,136514,15542
emqx,5,12,5.3,2382,200,154481,17967
emqx,5,13,5.3,2582,200,176819,22338
emqx,5,14,5,2782,200,203234,26415
emqx,5,15,4.8,2982,200,228919,25685
emqx,5,16,5.1,3182,200,249953,21034
emqx,5,17,4.7,3382,200,270239,20286
emqx,5,18,5,3582,200,295502,25263
emqx,5,19,5.2,3782,200,324410,28908
emqx,5,20,5.2,3982,200,342151,17741
hive,1,1,5.1,182,181.09,5322,5300.8
hive,1,2,5.2,382,200,13644,8313.69
hive,1,3,5.1,582,200,31972,18346.35
hive,1,4,5.1,782,200,50540,18568
hive,1,5,5.4,982,200,73189,22649
hive,1,6,5.1,1182,200,97711,24522
hive,1,7,5.3,1382,200,120599,22888
hive,1,8,5.6,1582,200,140186,19587
hive,1,9,5.7,1782,200,155096,14910
hive,1,10,5.6,1982,200,173469,18373
hive,1,11,5.7,2182,200,188953,15484
hive,1,12,5.6,2382,200,206774,17821
hive,1,13,5.7,2582,200,224270,17496
hive,1,14,5.3,2782,200,241116,16846
hive,1,15,5.7,2982,200,258641,17525
hive,1,16,5.4,3182,200,280047,21406
hive,1,17,5.6,3382,200,297225,17178
hive,1,18,5.6,3582,200,315711,18486
hive,1,19,5.8,3782,200,338115,22404
hive,1,20,5.5,3982,200,368319,30204
hive,2,1,5.3,190,189.05,5034,5008.96
hive,2,2,5.4,390,200,16553,11519
hive,2,3,5.7,590,199.6,28007,11454
hive,2,4,5.4,790,200.4,37981,9974
hive,2,5,5.3,990,200,54639,16658
hive,2,6,5.2,1190,199.8,79702,25063
hive,2,7,4.9,1390,200.2,104297,24595
hive,2,8,4.8,1590,200,126283,21986
hive,2,9,5.2,1790,200,141720,15437
hive,2,10,4.6,1990,200,165177,23457
hive,2,11,5.3,2190,200,189579,24402
hive,2,12,4.1,2390,200,210515,20936
hive,2,13,5.1,2590,200,236265,25750
hive,2,14,4.6,2790,200,261296,25031
hive,2,15,4.8,2990,200,293386,32090
hive,2,16,4.8,3190,200,319340,25954
hive,2,17,4.7,3390,200,348239,28899
hive,2,18,4.7,3590,200,373007,24768
hive,2,19,5.1,3790,200,401904,28897
hive,2,20,5.2,3990,200,426520,24616
hive,3,1,5.1,182,181.09,6320,6294.82
hive,3,2,5,382,200,14170,7850
hive,3,3,4.9,582,200,23704,9534
hive,3,4,4.8,782,200,50243,26539
hive,3,5,5,982,200,57688,7445
hive,3,6,5,1182,200,79155,21467
hive,3,7,5,1382,200,100586,21431
hive,3,8,4.8,1582,200,128058,27472
hive,3,9,4.9,1782,200,149130,21072
hive,3,10,5,1984,202,172789,23659
hive,3,11,4.8,2182,198,199809,27020
hive,3,12,4.9,2382,200,221892,22083
hive,3,13,4.6,2582,200,244945,23053
hive,3,14,4.4,2782,200,269073,24128
hive,3,15,4.3,2982,200,292880,23807
hive,3,16,4.9,3182,200,320616,27736
hive,3,17,4.9,3382,200,344411,23795
hive,3,18,4.7,3582,200,365276,20865
hive,3,19,4.7,3782,200,391949,26673
hive,3,20,4.6,3982,200,418798,26849
hive,4,1,5.1,182,181.09,5385,5363.55
hive,4,2,5.3,382,200,12541,7156
hive,4,3,5.8,582,200,25633,13092
hive,4,4,5.6,782,200,44999,19366
hive,4,5,5.6,982,200,66370,21371
hive,4,6,5.2,1182,200,89711,23341
hive,4,7,5.3,1382,200,108330,18619
hive,4,8,5.1,1582,200,131047,22717
hive,4,9,5.3,1782,200,156410,25363
hive,4,10,5.3,1982,200,179426,23016
hive,4,11,5.4,2182,200,205675,26249
hive,4,12,5.7,2382,200,224207,18532
hive,4,13,5.8,2582,200,249556,25349
hive,4,14,5.4,2782,200,270350,20794
hive,4,15,5.8,2982,200,296337,25987
hive,4,16,5.6,3182,200,316498,20161
hive,4,17,5.6,3382,200,336680,20182
hive,4,18,5.8,3582,200,356556,19876
hive,4,19,5.7,3782,200,380698,24142
hive,4,20,5.8,3982,200,398651,17953
hive,5,1,3.7,20,19.9,48,47.71
hive,5,2,4,220,200,644,596.6
hive,5,3,5.2,420,200,1285,641
hive,5,4,5.1,620,200,2390,1105
hive,5,5,4.8,820,200,3546,1156
hive,5,6,5.1,1020,200,6741,3195
hive,5,7,4.3,1220,200,8579,1838
hive,5,8,4.3,1420,200,12129,3550
hive,5,9,5.3,1620,200,16602,4473
hive,5,10,4.7,1820,200,21452,4850
hive,5,11,5.2,2020,200,24029,2577
hive,5,12,5.2,2220,200,27802,3773
hive,5,13,4.9,2420,200,31452,3650
hive,5,14,4.9,2620,200,35552,4100
hive,5,15,4.8,2820,200,41752,6200
hive,5,16,5.1,3020,200,50592,8840
hive,5,17,4.6,3220,200,60852,10260
hive,5,18,4.9,3420,200,72152,11300
hive,5,19,5.1,3620,200,91963,19811
hive,5,20,5.2,3820,200,109696,17733
mochi,1,1,3.5,190,189.05,5182,5156.22
mochi,1,2,3.3,390,200,12995,7813
mochi,1,3,3.8,590,200,21550,8546.45
mochi,1,4,3.4,790,200,29050,7507.51
mochi,1,5,4.2,990,200,35328,6278
mochi,1,6,5.2,1190,200,49231,13903
mochi,1,7,5.2,1390,200,75657,26426
mochi,1,8,3.9,1590,200,106935,31278
mochi,1,9,3.7,1790,200,132340,25405
mochi,1,10,3.9,1990,199.4,147832,15492
mochi,1,11,3.7,2190,200.6,170397,22565
mochi,1,12,3.6,2390,200,190887,20490
mochi,1,13,3.6,2590,199.8,219454,28567
mochi,1,14,3.3,2790,200.2,233377,13923
mochi,1,15,3.6,2990,200,246263,12886
mochi,1,16,3.9,3190,200,264615,18352
mochi,1,17,3.8,3390,200,283534,18919
mochi,1,18,4.1,3590,200,305314,21780
mochi,1,19,5.3,3790,200,327980,22666
mochi,1,20,3.8,3990,200,345726,17746
mochi,2,1,3.8,184,183.08,5696,5662.03
mochi,2,2,4.2,384,200,15950,10254
mochi,2,3,4.1,585,201,31437,15487
mochi,2,4,4.2,784,199,41762,10325
mochi,2,5,4.2,984,200,60755,18993
mochi,2,6,4.2,1184,200,85755,25000
mochi,2,7,4,1385,201,103131,17376
mochi,2,8,4,1584,199,123258,20127
mochi,2,9,4.3,1784,200,143790,20532
mochi,2,10,4.2,1984,200,159265,15475
mochi,2,11,4.2,2184,200,182537,23272
mochi,2,12,4.2,2384,200,203416,20879
mochi,2,13,3.9,2584,200,228333,24917
mochi,2,14,4.4,2784,200,251519,23162.84
mochi,2,15,3.9,2984,200,274522,23026.03
mochi,2,16,4.4,3184,200,301372,26850
mochi,2,17,3.7,3384,200,324191,22819
mochi,2,18,3.9,3584,200,345296,21105
mochi,2,19,4.2,3784,200,364491,19195
mochi,2,20,4.2,3984,200,383588,19097
mochi,3,1,3.7,186,185.07,5461,5433.83
mochi,3,2,4,386,200,13061,7592.41
mochi,3,3,4.4,586,200,23678,10627.63
mochi,3,4,4,786,200,34867,11189
mochi,3,5,4.2,986,200,52810,17943
mochi,3,6,4.1,1186,200,68660,15850
mochi,3,7,4.2,1386,200,86732,18072
mochi,3,8,4.1,1586,200,103852,17120
mochi,3,9,4.1,1786,200,121111,17259
mochi,3,10,4,1986,200,138367,17256
mochi,3,11,4.1,2186,200,159569,21202
mochi,3,12,4.1,2386,200,178178,18609
mochi,3,13,4.1,2586,200,193897,15719
mochi,3,14,3.7,2786,200,216728,22831
mochi,3,15,3.8,2986,200,236507,19779
mochi,3,16,4.7,3186,200,256424,19917
mochi,3,17,3.9,3386,200,272576,16152
mochi,3,18,4.1,3586,200,288530,15954
mochi,3,19,4.3,3786,200,307827,19297
mochi,3,20,4.3,3986,200,331627,23800
mochi,4,1,4.3,184,183.27,5435,5407.96
mochi,4,2,4.1,384,200,11857,6422
mochi,4,3,4.2,584,200,22746,10889
mochi,4,4,4,784,199.6,37970,15224
mochi,4,5,3.9,984,200.4,59671,21701
mochi,4,6,4.2,1184,200,77565,17894
mochi,4,7,4,1384,200,107989,30424
mochi,4,8,4.2,1584,200,126938,18949
mochi,4,9,4.3,1784,199.6,150362,23424
mochi,4,10,3.9,1984,200.4,169310,18948
mochi,4,11,4.4,2184,200,188811,19501
mochi,4,12,4.4,2384,200,205514,16703
mochi,4,13,4.1,2584,200,224569,19055
mochi,4,14,4.3,2784,200,249245,24676
mochi,4,15,3.9,2984,200,269797,20552
mochi,4,16,4.6,3184,200,290657,20860
mochi,4,17,3.6,3384,200,316251,25594
mochi,4,18,4.3,3584,200,339766,23515
mochi,4,19,4.4,3784,200,359705,19939
mochi,4,20,4,3984,200,386158,26453
mochi,5,1,3.3,190,189.05,6934,6906.37
mochi,5,2,4.2,390,200,14743,7809
mochi,5,3,3.9,590,199.6,20570,5827
mochi,5,4,3.8,790,200.4,40317,19747
mochi,5,5,3.7,990,199.8,60269,19952
mochi,5,6,4.3,1190,200.2,66042,5773
mochi,5,7,3.7,1390,200,67187,1145
mochi,5,8,4.5,1590,200,72954,5767
mochi,5,9,3.8,1790,200,80596,7642
mochi,5,10,4.5,1990,200,88077,7481
mochi,5,11,3.7,2190,200,103936,15859
mochi,5,12,4,2390,200,109111,5175
mochi,5,13,4.8,2590,200,120822,11711
mochi,5,14,3.9,2790,200,126527,5705
mochi,5,15,3.9,2990,200,143203,16676
mochi,5,16,3.9,3190,200,159396,16193
mochi,5,17,4.7,3388,197.8,172486,13090
mochi,5,18,4.3,3590,202.2,186904,14418
mochi,5,19,4.2,3790,200,206315,19411
mochi,5,20,4.4,3990,200,223384,17069
